municipality;site;pt_locality;date;time;temperature_C;wind_m/s;precipitation ;method;color;species;sex;caste;ID;identifyed_by;captured_by;taxonomy;state;periode;netting_group;trap_ID;site_ID;;;;;;;;;
austrheim;øksnes ;NA;15/06/2022;10:00;13,40;1,70;NA;net;NA;complex;f;worker;1;zazzera;zazzera;bombus;open;first;A;H10;1;;;;;;;;;
austrheim;øksnes ;NA;15/06/2022;10:00;13,40;1,70;NA;net;NA;B. pascuorum;f;queen;2;zazzera;zazzera;bombus;open;first;A;H10;1;;;;;;;;;
austrheim;lerøysundet;1;17/06/2022;11:00;NA;NA;NA;PT ;B;B. jonellus;f;worker;3;zazzera;zazzera;bombus;overgrown;first;NA;P11;4;;;;;;;;;
austrheim;krossøy;NA;15/06/2022;12:00;13,00;5,50;0;net;NA;complex;f;queen;4;NA;zazzera;bombus;open;first;A;H11;3;;;;;;;;;
austrheim;krossøy;NA;15/06/2022;12:00;13,00;5,50;0;net;NA;complex;f;queen;5;NA;zazzera;bombus;open;first;A;H11;3;;;;;;;;;
austrheim;krossøy;NA;15/06/2022;12:00;13,00;5,50;0;net;NA;B. jonellus;f;queen;6;NA;zazzera;bombus;open;first;A;H11;3;;;;;;;;;
austrheim;utkilen;NA;15/06/2022;14:00;14,90;3,70;0;net;NA;B. pratorum;f;worker;7;zazzera;zazzera;bombus;overgrown;first;A;H12;6;;;;;;;;;
austrheim;utkilen;NA;15/06/2022;14:00;14,90;3,70;0;net;NA;B. jonellus;f;worker;8;zazzera;zazzera;bombus;overgrown;first;A;H12;6;;;;;;;;;
austrheim;utkilen;NA;15/06/2022;14:00;14,90;3,70;0;net;NA;B. jonellus;f;worker;9;zazzera;zazzera;bombus;overgrown;first;A;H12;6;;;;;;;;;
austrheim;utkilen;NA;15/06/2022;14:00;14,90;3,70;0;net;NA;B. campestris;f;queen;10;;zazzera;bombus;overgrown;first;A;H12;6;;;;;;;;;
austrheim;utkilen;NA;15/06/2022;14:00;14,90;3,70;0;net;NA;B. jonellus;f;worker;11;;zazzera;bombus;overgrown;first;A;H12;6;;;;;;;;;
austrheim;utkilen;NA;15/06/2022;14:00;14,90;3,70;0;net;NA;B. jonellus;m;drone;12;;zazzera;bombus;overgrown;first;A;H12;6;;;;;;;;;
austrheim;utkilen;NA;15/06/2022;14:00;14,90;3,70;0;net;NA;B. jonellus;f;worker;13;;zazzera;bombus;overgrown;first;A;H12;6;;;;;;;;;
austrheim;utkilen;NA;15/06/2022;14:00;14,90;3,70;0;net;NA;B. jonellus;f;worker;14;zazzera;zazzera;bombus;overgrown;first;A;H12;6;;;;;;;;;
austrheim;utkilen;NA;15/06/2022;14:00;14,90;3,70;0;net;NA;B. jonellus;f;queen;15;zazzera;zazzera;bombus;overgrown;first;A;H12;6;;;;;;;;;
austrheim;utkilen;NA;15/06/2022;14:00;14,90;3,70;0;net;NA;B. jonellus;f;worker;16;zazzera;zazzera;bombus;overgrown;first;A;H12;6;;;;;;;;;
austrheim;utkilen;NA;15/06/2022;14:00;14,90;3,70;0;net;NA;B. jonellus;f;worker;17;zazzera;zazzera;bombus;overgrown;first;A;H12;6;;;;;;;;;
alver;syltneset ;3;10/06/2022;10:00;NA;NA;NA;PT ;B;complex;f;queen;18;zazzera;zazzera;bombus;overgrown;first;NA;P3;5;;;;;;;;;
alver;syltneset ;1;13/06/2022;12:00;NA;NA;NA;PT ;W;B. jonellus;f;queen;19;;zazzera;bombus;overgrown;first;NA;P7;5;;;;;;;;;
alver;syltneset ;NA;09/06/2022;12:00;13,40;2,00;0;net;NA;complex;f;worker;20;;zazzera;bombus;overgrown;first;NA;H6;5;;;;;;;;;
austrheim;øksnes ;1;17/06/2022;12:00;NA;NA;NA;PT ;Y;complex;f;worker;21;;zazzera;bombus;open;first;NA;P12;1;;;;;;;;;
alver;syltneset ;3;10/06/2022;10:00;NA;NA;NA;PT ;B;B. jonellus;m;drone;22;;zazzera;bombus;overgrown;first;NA;P3;5;;;;;;;;;
austrheim;syltneset ;2;13/06/2022;13:00;NA;NA;NA;PT ;B;B. jonellus;f;worker;23;zazzera;zazzera;bombus;overgrown;first;NA;PX;5;;;;;;;;;
austrheim;krossøy;2;10/06/2022;15:00;NA;NA;NA;PT ;W;B. muscorum;f;queen;24;iversen;zazzera;bombus;open;first;NA;P5;3;;;;;;;;;
austrheim;utkilen;3;13/06/2022;17:00;NA;NA;NA;PT ;W;B. pratorum;f;worker;25;zazzera;zazzera;bombus;overgrown;first;NA;P9;6;;;;;;;;;
austrheim;utkilen;2;13/06/2022;17:00;NA;NA;NA;PT ;Y;B. pratorum;f;worker;26;halvorsen;zazzera;bombus;overgrown;first;NA;P9;6;;;;;;;;;
austrheim;utkilen;2;10/06/2022;17:00;NA;NA;NA;PT ;B;B. jonellus;f;queen;27;iversen;zazzera;bombus;overgrown;first;NA;P6;6;;;;;;;;;
