site;site_code;plot;date;cover_heather_%;cover_shrubs_%;cover_trees_%;cover_herbs_%;cover_gramniods_%;cover_moss_%;cover_rock_%;vegetationless_cover_%;feces_present_%;Vaccinium myrtillus_%;Vaccinium uliginosum_%;Erica tetralix_%;Empetrum nigrum_%;Arctostaphylos uva-ursi_%;Erica cinerea_%;Calluna_vulgaris_%;Vaccinium_vitis_idaea_%;Juniperus_communis_%;Salix_repens_%;Pinus_%;Sorbus_aucuparia_%;Succisa_prantensis_%;Hieracium_%;Epilobium_%;Cornus_suecica_%;Narthecium_ossifragum_%;Potentilla_erecta_%;Lotus_corniculatus_%;Polytrichum_%;Sphagnum_%;other_moss_%;lichens_%;ferns_%;drosera_%;Tree_cover_1km_%;state
øksnes;Ø;1;18/08/2022;30;0;0;0;60;10;0;10;0;0;0;5;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0,26;open
øksnes;Ø;2;18/08/2022;45;15;0;0;35;5;0;10;0;0;0;0;0;5;0;40;0;15;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0,26;open
øksnes;Ø;3;18/08/2022;85;10;0;0;0;5;0;5;0;0;0;10;0;25;0;50;0;10;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0,26;open
øksnes;Ø;4;18/08/2022;60;5;0;0;30;0;0;5;0;0;0;0;0;10;0;50;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,26;open
øksnes;Ø;5;18/08/2022;35;0;0;40;0;25;0;0;0;0;0;5;0;0;0;30;0;0;0;0;0;0;0;30;0;10;0;0;0;25;0;0;0;0;0,26;open
øksnes;Ø;6;18/08/2022;50;10;0;5;30;0;0;15;0;0;0;0;0;20;0;30;0;10;0;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0,26;open
øksnes;Ø;7;18/08/2022;40;0;0;15;25;20;0;25;0;0;0;0;0;15;0;25;0;0;0;0;0;0;0;0;0;10;5;0;0;15;5;0;0;0;0,26;open
øksnes;Ø;8;18/08/2022;35;0;0;15;15;35;0;0;0;0;0;5;0;0;0;30;0;0;0;0;0;0;0;0;0;15;0;0;0;35;0;0;0;0;0,26;open
øksnes;Ø;9;18/08/2022;35;0;0;15;50;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0,26;open
øksnes;Ø;10;18/08/2022;35;25;0;20;10;5;0;5;0;0;0;0;0;0;0;35;0;25;0;0;0;0;0;0;0;15;5;0;0;0;5;0;0;0;0,26;open
byngja;B;1;25/08/2022;50;5;0;10;0;35;0;0;0;10;0;0;0;0;0;30;10;5;0;0;0;0;0;0;10;0;0;0;0;0;35;0;0;0;0,26;open
byngja;B;2;25/08/2022;60;10;0;10;10;10;0;0;0;5;0;10;0;0;0;40;5;10;0;0;0;0;0;0;5;0;5;0;0;0;10;0;0;0;0,26;open
byngja;B;3;25/08/2022;30;30;0;5;5;30;0;0;0;0;15;0;10;0;0;0;5;30;0;0;0;0;0;0;5;0;0;0;0;0;30;0;0;0;0,26;open
byngja;B;4;25/08/2022;70;0;0;10;0;20;0;0;0;0;5;30;30;5;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;20;0;0;0;0,26;open
byngja;B;5;25/08/2022;90;0;5;0;5;0;0;0;0;0;5;10;10;0;0;70;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,26;open
byngja;B;6;25/08/2022;80;0;0;5;5;10;0;0;0;0;5;15;15;5;0;45;0;0;0;0;0;0;0;30;5;0;0;0;0;0;10;0;0;0;0,26;open
byngja;B;7;25/08/2022;80;0;0;0;10;5;0;0;0;0;0;20;20;5;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0,26;open
byngja;B;8;25/08/2022;55;30;0;5;0;10;0;0;0;0;5;25;25;10;0;15;0;30;0;0;0;0;0;0;0;0;5;0;0;0;10;0;0;0;0,26;open
byngja;B;9;25/08/2022;60;0;0;5;25;5;0;0;0;0;5;15;15;0;0;30;0;0;0;0;0;0;0;0;0;0;5;0;0;0;5;5;0;0;0,26;open
byngja;B;10;25/08/2022;60;0;0;0;5;30;0;0;0;0;0;0;0;10;0;45;0;5;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0,26;open
lerøysundet;L;1;25/08/2022;50;45;0;0;0;5;0;0;0;0;50;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0,38;overgrown
lerøysundet;L;2;25/08/2022;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,38;overgrown
lerøysundet;L;3;25/08/2022;80;0;0;10;0;10;0;0;0;0;60;0;5;0;0;15;0;0;0;0;0;0;0;0;5;0;5;0;0;0;10;0;0;0;0,38;overgrown
lerøysundet;L;4;25/08/2022;75;0;0;0;5;20;0;0;0;0;35;5;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0,38;overgrown
lerøysundet;L;5;25/08/2022;70;0;0;15;15;0;0;0;0;0;20;5;0;0;0;40;0;0;0;0;0;0;0;0;10;0;5;0;0;0;0;0;0;0;0,38;overgrown
lerøysundet;L;6;25/08/2022;95;0;0;5;0;0;0;0;0;0;90;0;0;5;0;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0,38;overgrown
lerøysundet;L;7;25/08/2022;55;20;0;15;5;5;0;0;0;0;25;0;0;0;0;30;0;20;0;0;0;0;0;0;10;0;5;0;0;0;5;0;0;0;0,38;overgrown
lerøysundet;L;8;25/08/2022;50;45;0;0;0;5;0;0;0;0;10;0;10;0;0;30;0;45;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0,38;overgrown
